PRAGATIINS,Insurance,A,3.0,6.29,4.06,53.51,"2020
"
PREMIERBAN,Bank,A,2.4,2.97,2.13,21.02,"2020
"
PREMIERCEM,Cement,A,2.0,0.46,6.2,79.83,"2021
"
PRIME1ICBA,Mutual Funds,A,0.75,0.94,0.47,10.15,"2021
"
PRIMEBANK,Bank,A,1.5,3.03,1.61,25.15,"2020
"
PRIMEINSUR,Insurance,A,1.0,2.69,1.31,17.62,"2020
"
PRIMETEX,Textile,B,0.2,0.6,0.62,67.93,"2021
"
PROVATIINS,Insurance,A,19.19,3.9,3.08,21.11,"2020
"
PTL,Textile,A,6.7,5.94,4.27,27.24,"2021
"
PUBALIBANK,Bank,A,1.25,6.07,3.62,37.63,"2020
"
PURABIGEN,Insurance,A,2.3,1.43,1.16,13.09,"2020
"
QUASEMIND,Engineering,A,2.96,0.42,0.7,31.01,"2020
"
QUEENSOUTH,Textile,A,3.06,1.22,0.96,16.64,"2020
"
RAHIMTEXT,Textile,A,1.6,2.92,2.25,37.99,"2021
"
RAKCERAMIC,Ceramics Sector,A,1.0,2.12,0.73,16.41,"2020
"
RANFOUNDRY,Engineering,A,2.3,4.38,3.68,29.11,"2021
"
RDFOOD,Food & Allied,B,2.13,1.54,0.64,14.65,"2021
"
RECKITTBEN,Pharmaceuticals & Chemicals,A,140.0,140.28,156.37,170.95,"2020
"
RELIANCE1,Mutual Funds,A,1.05,0.97,1.05,14.76,"2021
"
RELIANCINS,Insurance,A,2.5,5.59,5.21,60.73,"2020
"
RENATA,Pharmaceuticals & Chemicals,A,149.94,51.24,51.93,263.85,"2021
"
REPUBLIC,Insurance,A,4.06,2.48,2.36,16.18,"2020
"
RINGSHINE,Textile,A,1.51,0.29,1.72,24.88,"2019
"
RUNNERAUTO,Engineering,A,1.0,2.98,2.7,65.16,"2021
"
RUPALIBANK,Bank,A,3.27,0.49,0.49,44.1,"2020
"
RUPALIINS,Insurance,A,1.0,1.99,1.9,21.41,"2020
"
SAFKOSPINN,Textile,B,0.5,0.08,0.23,21.44,"2021
"
SAIFPOWER,Services & Real Estate,A,2.56,2.1,1.14,16.63,"2020
"
SAIHAMTEX,Textile,A,1.0,1.4,1.11,42.91,"2021
"
SALAMCRST,Engineering,A,1.0,0.42,0.56,19.01,"2020
"
SALVOCHEM,Pharmaceuticals & Chemicals,B,0.2,2.2,0.34,12.69,"2021
"
SAMORITA,Services & Real Estate,A,1.0,2.52,2.23,51.46,"2021
"
SAPORTL,Services & Real Estate,A,1.0,0.9,0.79,33.52,"2021
"
SBACBANK,Bank,B,0.99,1.08,1.21,13.59,"2020
"
SEAPEARL,Travel & Leisure,B,0.1,1.44,0.61,10.63,"2021
"
SEMLFBSLGF,Mutual Funds,A,1.5,1.4,1.87,12.4,"2021
"
SEMLIBBLSF,Mutual Funds,A,1.0,1.18,2.35,11.31,"2021
"
SEMLLECMF,Mutual Funds,A,1.5,1.14,2.84,11.84,"2021
"
SHAHJABANK,Bank,A,1.82,3.28,1.96,18.33,"2020
"
SHASHADNIM,Textile,A,1.0,1.82,1.02,41.97,"2021
"
SHURWID,Engineering,A,1.0,2.55,1.4,12.21,"2019
"
SIBL,Bank,A,1.27,1.08,1.67,19.29,"2020
"
SILCOPHL,Pharmaceuticals & Chemicals,A,1.0,0.94,0.8,21.64,"2020
"
SILVAPHL,Pharmaceuticals & Chemicals,B,0.5,1.01,0.88,16.63,"2021
"
SIMTEX,Textile,B,0.4,0.86,0.92,21.82,"2021
"
SINGERBD,Engineering,A,3.0,5.2,7.85,32.19,"2020
"
SINOBANGLA,Miscellaneous,A,0.5,1.16,1.31,25.69,"2020
"
SKTRIMS,Miscellaneous,B,0.5,0.98,1.14,14.1,"2021
"
SONALIANSH,Jute,A,1.0,1.74,1.12,225.65,"2021
"
SONALIPAPR,Paper & Printing,A,142.2,23.34,4.89,284.33,"2021
"
SONARBAINS,Insurance,A,1.5,2.63,2.09,19.62,"2020
"
SOUTHEASTB,Bank,A,1.0,4.2,1.82,24.98,"2020
"
SPCERAMICS,Ceramics Sector,B,0.25,0.2,0.32,30.63,"2021
"
SPCL,Fuel & Power,A,4.42,6.64,4.47,34.94,"2020
"
SQUARETEXT,Textile,A,2.0,9.35,3.41,38.69,"2021
"
SQURPHARMA,Pharmaceuticals & Chemicals,A,6.0,21.76,17.98,102.54,"2021
"
SSSTEEL,Engineering,A,1.74,2.92,1.55,17.48,"2020
"
STANDARINS,Insurance,A,1.25,2.96,2.07,19.09,"2020
"
STANDBANKL,Bank,A,0.51,0.38,1.09,16.67,"2020
"
SUMITPOWER,Fuel & Power,A,3.5,4.04,5.25,34.45,"2021
"
TAKAFULINS,Insurance,A,1.0,2.29,1.65,17.97,"2020
"
TAMIJTEX,Textile,A,2.0,5.2,2.05,82.3,"2021
"
TITASGAS,Fuel & Power,A,2.2,2.88,3.5,72.57,"2021
"
TOSRIFA,Textile,B,0.73,0.86,0.64,29.35,"2021
"
TRUSTB1MF,Mutual Funds,A,0.9,1.14,2.24,11.91,"2021
"
TRUSTBANK,Bank,A,4.5,5.18,2.77,27.37,"2020
"
UCB,Bank,A,1.29,2.2,2.42,29.35,"2020
"
UNILEVERCL,Food & Allied,A,44.0,42.8,43.94,123.08,"2020
"
UNITEDFIN,Financial Institutions,A,1.0,0.96,1.14,17.11,"2020
"
UNITEDINS,Insurance,A,1.1,2.4,2.04,33.04,"2020
"
UPGDCL,Fuel & Power,A,17.0,23.68,18.8,56.18,"2021
"
UTTARABANK,Bank,A,4.58,3.58,4.28,34.79,"2020
"
UTTARAFIN,Financial Institutions,A,3.55,2.25,9.47,62.45,"2019
"
VAMLBDMF1,Mutual Funds,A,1.5,0.44,2.13,14.63,"2021
"
VAMLRBBF,Mutual Funds,A,0.16,1.3,1.68,10.16,"2020
"
VFSTDL,Textile,A,1.1,1.76,1.5,18.7,"2021
"
WALTONHIL,Engineering,A,25.0,29.46,54.23,311.59,"2021
"
WATACHEM,Pharmaceuticals & Chemicals,A,3.0,5.04,6.14,60.22,"2021
"
