198.8,206.9,191.0,198.8,188.1,10.7,985,28.647,140415
208.8,213.8,207.8,208.8,210.2,-1.4,517,26.834,128229
19.3,19.3,19.2,19.3,19.3,0.0,29,1.072,55625
46.7,46.9,45.6,46.7,45.6,1.1,358,24.043,518404
31.6,32.2,31.0,31.6,31.0,0.6,104,1.65,52089
7.4,7.5,7.4,7.4,7.4,0.0,415,13.455,1810867
15.4,15.5,15.3,15.3,15.4,0.0,136,5.836,380051
8.7,8.8,8.7,8.7,8.8,-0.1,47,1.904,218745
38.6,38.7,37.9,38.6,38.5,0.1,79,4.367,113650
21.3,22.2,20.3,21.3,20.3,1.0,1304,39.213,1818321
56.6,58.1,56.1,56.6,57.1,-0.5,982,42.347,741807
59.2,60.4,59.0,59.2,59.1,0.1,113,3.844,64773
14.1,14.2,14.1,14.1,14.0,0.1,33,1.325,93937
51.7,53.0,51.5,51.9,52.2,-0.5,252,5.612,108304
54.3,55.7,54.0,54.3,54.1,0.2,420,14.401,262992
27.0,27.9,26.8,27.0,27.6,-0.6,1557,102.823,3790296
163.9,167.0,163.7,164.1,166.0,-2.1,559,46.376,280082
13.7,13.8,13.6,13.7,13.7,0.0,1274,67.183,4904131
105.4,112.5,104.5,105.4,111.0,-5.6,2275,105.261,976939
102.8,106.5,102.5,102.8,105.1,-2.3,2015,170.213,1637276
260.7,264.4,243.2,260.7,243.2,17.5,1534,66.17,254004
72.5,74.0,72.1,72.5,72.3,0.2,213,5.049,69441
12.6,13.1,12.5,12.6,12.9,-0.3,747,25.614,2015893
44.0,44.5,42.7,44.0,42.3,1.7,1687,123.344,2836069
57.6,58.2,55.9,57.6,55.8,1.8,453,17.565,306644
8.7,8.8,8.6,8.7,8.7,0.0,68,0.739,85062
791.0,805.0,752.0,791.0,769.6,21.4,2966,144.999,186595
54.9,56.5,54.2,54.9,55.0,-0.1,180,6.682,121283
24.5,25.2,24.3,24.5,24.8,-0.3,143,3.182,129020
5.6,5.7,5.5,5.6,5.6,0.0,92,1.861,332795
110.1,112.4,110.0,110.1,110.6,-0.5,305,10.959,99392
5.6,5.6,5.5,5.6,5.6,0.0,30,0.99,177261
70.5,73.9,70.0,70.5,72.2,-1.7,2630,283.989,3978170
87.9,89.0,85.9,87.9,87.5,0.4,96,2.612,29665
15.0,15.1,14.9,15.0,15.0,0.0,325,21.405,1430111
65.8,67.5,65.6,65.8,66.4,-0.6,152,4.077,61655
7.6,7.7,7.5,7.6,7.6,0.0,21,0.14,18493
21.5,21.7,21.4,21.6,21.6,-0.1,89,6.885,319616
