GOLDENSON,19.30,Engineering,B,0.28,0.68,0.3,20.22,2021
GP,354.00,Telecommunication,A,27.5,25.23,27.48,38.59,2020
GPHISPAT,53.70,Engineering,A,7.37,4.34,4.18,29.86,2021
GQBALLPEN,130.60,Miscellaneous,B,0.5,-, n/a ,140.0,2021
GRAMEENS2,16.20,Mutual Funds,A,1.3,1.74,1.21,20.82,2021
GREENDELMF,7.50,Mutual Funds,A,1.2,0.64,2.13,11.69,2021
GREENDELT,93.60,Insurance,A,9.47,8.43,7.34,68.95,2020
GSPFINANCE,24.90,Financial Institutions,A,2.49,1.69,1.55,21.9,2020
HAKKANIPUL,67.10,Paper & Printing,B,0.1,-, n/a ,24.96,2021
HEIDELBCEM,300.80,Cement,A,2.0,13.18, n/a ,68.1,2020
HFL,22.20,Textile,B,0.5,0.36, n/a ,37.79,2021
HRTEX,64.80,Textile,A,1.0,2.18,1.11,42.78,2020
HWAWELLTEX,44.60,Textile,A,2.0,3.48,3.01,31.56,2021
IBNSINA,295.00,Pharmaceuticals & Chemicals,A,4.7,21.03,15.69,68.69,2021
IBP,17.90,Pharmaceuticals & Chemicals,B,0.81,1.02,1.4,13.61,2020
ICB,119.90,Financial Institutions,A,1.1,3.48,1.43,54.98,2021
ICB3RDNRB,7.10,Mutual Funds,A,0.7,0.63,0.53,9.22,2021
ICBAGRANI1,9.00,Mutual Funds,A,0.7,1.02,0.68,11.01,2021
ICBAMCL2ND,8.70,Mutual Funds,A,0.8,1.05,0.37,10.33,2021
ICBEPMF1S1,7.20,Mutual Funds,A,0.6,0.76,0.41,9.4,2021
ICBIBANK,4.70,Bank,Z,-,-, n/a ,-17.54,2020
ICBSONALI1,7.90,Mutual Funds,A,0.7,0.98,0.53,10.39,2021
IDLC,56.20,Financial Institutions,A,4.31,5.34,6.74,40.41,2020
IFADAUTOS,46.60,Engineering,A,1.1,1.94,2.18,40.81,2021
IFIC,16.70,Bank,A,0.83,1.68,0.7,17.18,2020
IFIC1STMF,5.60,Mutual Funds,A,0.75,1.55,2.36,11.48,2021
IFILISLMF1,6.80,Mutual Funds,A,0.4,0.48,0.31,9.5,2021
ILFSL,6.30,Financial Institutions,B,-,-, n/a ,-144.93,2020
IMAMBUTTON,29.90,Pharmaceuticals & Chemicals,Z,-,-, n/a ,5.81,2018
INDEXAGRO,114.20,Miscellaneous,A,2.5,5.26,5.63,58.27,2021
INTECH,28.70,IT Sector,B,0.1,0.26,0.15,10.7,2020
INTRACO,21.70,Fuel & Power,A,1.58,1.34,0.55,12.28,2020
IPDC,37.60,Financial Institutions,A,1.2,2.27,1.9,16.34,2020
ISLAMIBANK,32.50,Bank,A,1.0,3.56,2.98,38.89,2020
ISLAMICFIN,24.90,Financial Institutions,A,1.0,1.19,1.54,14.99,2020
ISLAMIINS,58.80,Insurance,A,5.88,2.57,2.18,15.89,2020
ISNLTD,47.20,IT Sector,B,-,0.52, n/a ,2.47,2021
ITC,33.10,IT Sector,B,0.5,1.67,1.53,16.48,2021
JAMUNABANK,23.60,Bank,A,1.75,5.19,3.55,32.06,2020
JAMUNAOIL,168.10,Fuel & Power,A,12.0,16.86,18.13,161.4,2020
JANATAINS,42.90,Insurance,A,2.75,1.65,1.26,14.45,2020
JMISMDL,368.40,Pharmaceuticals & Chemicals,A,3.0,5.8,4.03,122.7,2021
JUTESPINN,120.00,Jute,Z,-,-, n/a ,-147.44,2016
KARNAPHULI,39.70,Insurance,A,1.0,2.21,1.59,18.82,2020
KAY&QUE,278.80,Engineering,B,0.4,0.44,0.44,76.79,2020
KBPPWBIL,13.80,Miscellaneous,B,-,-, n/a ,12.26,2021
KDSALTD,56.70,Engineering,A,1.5,2.36,2.2,24.75,2021
KEYACOSMET,7.10,Pharmaceuticals & Chemicals,B,0.1,0.24,0.21,0.23,2020
KOHINOOR,425.20,Pharmaceuticals & Chemicals,A,67.28,10.72,10.52,55.58,2021
KPCL,31.90,Fuel & Power,A,1.25,-,0.87,22.07,2021
KPPL,10.00,Paper & Printing,B,-,-, n/a ,1.23,2021
KTL,38.80,Textile,A,1.0,1.88,0.52,16.71,2021
LANKABAFIN,36.80,Financial Institutions,A,1.2,2.23,1.81,18.73,2020
LEGACYFOOT,67.90,Tannery Industries,B,0.1,0.22,0.4,10.83,2021
LHBL,77.00,Cement,A,1.0,3.34,2.03,14.89,2020
LIBRAINFU,997.70,Pharmaceuticals & Chemicals,A,0.5,1.05,1.05,1269.0,2019
LINDEBD,1860.30,Fuel & Power,A,40.0,82.83,70.55,355.71,2020
LOVELLO,37.50,Food & Allied,A,1.1,1.1,1.41,12.57,2021
LRBDL,39.20,Fuel & Power,A,1.0,2.12,3.41,36.45,2021
LRGLOBMF1,6.70,Mutual Funds,A,1.51,0.45,1.74,13.47,2021
MAKSONSPIN,25.30,Textile,B,0.2,3.52, n/a ,18.2,2020
MALEKSPIN,31.10,Textile,A,1.0,3.84,3.36,46.27,2021
MARICO,2400.00,Pharmaceuticals & Chemicals,A,90.0,120.12,98.68,51.95,2021
MATINSPINN,67.40,Textile,A,4.0,11.09,6.31,53.84,2021
MBL1STMF,7.90,Mutual Funds,A,1.15,0.63,1.95,11.89,2021
MEGCONMILK,16.40,Food & Allied,Z,-,-, n/a ,-67.81,2021
MEGHNACEM,76.30,Cement,A,4.31,1.92,2.73,70.14,2021
MEGHNALIFE,76.60,Insurance,A,12.99,-,-,-,2020
MEGHNAPET,20.50,Food & Allied,Z,-,-, n/a ,-4.54,2021
MERCANBANK,17.30,Bank,A,1.87,4.51,2.26,22.61,2020
MERCINS,46.20,Insurance,A,1.0,1.5,1.69,19.05,2020
METROSPIN,23.70,Textile,B,0.2,1.7,0.08,14.53,2020
MHSML,30.00,Textile,B,0.3,1.94,0.52,18.16,2021
MICEMENT,61.20,Cement,A,2.0,1.5,5.8,52.69,2021
MIDASFIN,15.90,Financial Institutions,B,0.65,-,0.83,11.69,2020
MIRACLEIND,28.80,Miscellaneous,B,0.1,-, n/a ,31.93,2020
MIRAKHTER,63.20,Engineering,A,1.25,3.11,4.23,50.86,2021
MITHUNKNIT,14.50,Textile,Z,-,-, n/a ,19.75,2018
MJLBD,90.90,Fuel & Power,A,5.5,6.69,7.48,39.69,2021
MLDYEING,23.30,Textile,A,1.0,0.7,0.62,15.75,2021
MONNOAGML,574.30,Engineering,A,1.0,1.7,1.55,13.62,2021
MONNOCERA,119.10,Ceramics Sector,A,1.0,1.28,0.9,57.37,2021
MONNOFABR,23.90,Textile,Z,-,0.1,0.06,27.37,2021
MONOSPOOL,272.90,Paper & Printing,A,1.0,2.28,1.23,40.43,2021
MPETROLEUM,194.30,Fuel & Power,A,15.0,25.47,28.45,148.21,2020
MTB,19.00,Bank,A,1.9,1.6,1.31,23.03,2020
NAHEEACP,57.00,Engineering,A,1.0,2.24,2.15,17.38,2021
NATLIFEINS,214.20,Insurance,A,3.2,-,3.74,48.27,2020
NAVANACNG,30.60,Engineering,A,2.03,0.22,0.22,35.28,2021
NBL,7.50,Bank,B,0.38,0.59,1.18,16.92,2020
NCCBANK,15.40,Bank,A,1.91,2.74,2.38,22.15,2020
NCCBLMF1,8.90,Mutual Funds,A,0.72,1.4,1.12,11.81,2020
NEWLINE,44.80,Textile,A,2.74,2.19,1.14,23.83,2020
NFML,18.20,Miscellaneous,B,1.66,-,0.17,12.76,2020
NHFIL,50.90,Financial Institutions,A,1.5,2.81,2.75,17.91,2020
NITOLINS,57.90,Insurance,A,1.0,2.73,2.84,27.23,2020
NLI1STMF,-,Mutual Funds,A,1.75,20.57,4.59,15.32,2021
NORTHERN,280.60,Jute,A,0.5,-,11.33,81.66,2020
NORTHRNINS,49.90,Insurance,A,1.0,1.86,1.75,20.24,2020
NPOLYMER,55.80,Engineering,A,1.0,2.54,2.82,30.49,2021
NRBCBANK,25.20,Bank,A,2.01,2.96,1.96,14.0,2020
NTC,827.00,Food & Allied,A,1.0,17.32, n/a ,84.27,2021
NTLTUBES,96.20,Engineering,B,0.2,-,0.06,153.12,2021
NURANI,7.00,Textile,A,0.7,-, n/a ,11.23,2020
OAL,13.30,Engineering,B,0.1,-, n/a ,13.64,2021
OIMEX,18.20,Engineering,A,-,-,0.08,13.38,2021
OLYMPIC,153.50,Food & Allied,A,5.4,7.22,10.19,46.21,2021
ONEBANKLTD,13.10,Bank,A,1.32,2.92,1.57,19.31,2020
ORIONINFU,94.00,Pharmaceuticals & Chemicals,A,1.0,1.96,1.37,13.1,2021
ORIONPHARM,109.20,Pharmaceuticals & Chemicals,A,1.2,4.04,4.01,79.76,2021
PADMALIFE,47.00,Insurance,B,-,-,-,-,2020
PADMAOIL,207.70,Fuel & Power,A,12.5,23.34,27.8,157.64,2020
PAPERPROC,313.70,Paper & Printing,A,1.0,4.24,1.34,27.97,2021
PARAMOUNT,70.70,Insurance,A,14.14,4.11,5.38,26.62,2020
PDL,11.80,Textile,B,1.18,0.46,0.54,14.65,2020
PENINSULA,36.60,Travel & Leisure,A,1.0,1.28,0.41,30.28,2021
PEOPLESINS,63.00,Insurance,A,1.1,2.71,2.26,28.6,2020
PF1STMF,9.00,Mutual Funds,A,0.6,0.72,0.32,9.68,2021
PHARMAID,850.50,Pharmaceuticals & Chemicals,A,5.0,21.38,16.11,93.26,2021
PHENIXINS,54.30,Insurance,A,1.5,2.75,2.33,39.1,2020
PHOENIXFIN,24.30,Financial Institutions,A,2.92,0.97,1.36,22.01,2020
PHPMF1,5.40,Mutual Funds,A,0.85,0.8,2.04,11.85,2021
PIONEERINS,106.90,Insurance,A,12.69,8.04,7.7,49.75,2020
PLFSL,-,Financial Institutions,Z,-,-,30,10.9,2017
POPULAR1MF,5.50,Mutual Funds,A,0.85,0.94,2.12,11.85,2021
POPULARLIF,82.00,Insurance,A,4.0,-,3.77,108.9,2020
